City_ID,City,Country,Date,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Keetmanshoop,NA,2021-03-15 08:11:26,2021-03-15 08:11:26,-26.5833,18.1333,66.2,48,0,2.3
1,Flinders,AU,2021-03-15 08:11:26,2021-03-15 08:11:26,-34.5833,150.8552,64.0,64,0,6.08
2,Georgetown,MY,2021-03-15 08:06:49,2021-03-15 08:06:49,5.4112,100.3354,91.4,58,20,9.22
3,Hermanus,ZA,2021-03-15 08:07:35,2021-03-15 08:07:35,-34.4187,19.2345,64.0,95,100,1.99
4,Ust-Maya,RU,2021-03-15 08:11:26,2021-03-15 08:11:26,60.4167,134.5333,15.87,86,100,13.35
5,Arman,RU,2021-03-15 08:11:26,2021-03-15 08:11:26,59.7,150.1667,12.74,88,99,4.09
6,Jamestown,US,2021-03-15 08:07:02,2021-03-15 08:07:02,42.097,-79.2353,19.99,57,1,10.67
7,Busselton,AU,2021-03-15 08:07:07,2021-03-15 08:07:07,-33.65,115.3333,82.0,31,100,4.0
8,Vaini,TO,2021-03-15 08:11:26,2021-03-15 08:11:26,-21.2,-175.2,75.2,94,75,2.3
9,Rikitea,PF,2021-03-15 08:11:26,2021-03-15 08:11:26,-23.1203,-134.9692,80.31,76,47,6.67
10,Saskylakh,RU,2021-03-15 08:11:27,2021-03-15 08:11:27,71.9167,114.0833,-17.97,92,98,6.24
11,Plettenberg Bay,ZA,2021-03-15 08:11:27,2021-03-15 08:11:27,-34.0527,23.3716,72.73,77,7,16.87
12,Dunedin,NZ,2021-03-15 08:07:01,2021-03-15 08:07:01,-45.8742,170.5036,57.0,84,100,1.01
13,Sitka,US,2021-03-15 08:11:27,2021-03-15 08:11:27,57.0531,-135.33,32.0,59,90,18.41
14,Bluff,NZ,2021-03-15 08:11:28,2021-03-15 08:11:28,-46.6,168.3333,55.0,72,5,3.0
15,Guerrero Negro,MX,2021-03-15 08:11:28,2021-03-15 08:11:28,27.9769,-114.0611,54.5,82,0,13.76
16,Pozo Colorado,PY,2021-03-15 08:11:28,2021-03-15 08:11:28,-23.4923,-58.7972,73.62,73,98,2.91
17,Esperance,AU,2021-03-15 08:09:55,2021-03-15 08:09:55,-33.8667,121.9,77.0,31,0,11.5
18,Vardo,NO,2021-03-15 08:11:28,2021-03-15 08:11:28,70.3705,31.1107,32.0,80,40,21.85
19,Puerto Ayora,EC,2021-03-15 08:11:28,2021-03-15 08:11:28,-0.7393,-90.3518,73.0,97,27,5.91
20,Victor Harbor,AU,2021-03-15 08:07:55,2021-03-15 08:07:55,-35.5667,138.6167,66.99,75,100,8.52
21,Hobart,AU,2021-03-15 08:07:31,2021-03-15 08:07:31,-42.8794,147.3294,66.0,51,75,14.97
22,Arraial Do Cabo,BR,2021-03-15 08:06:54,2021-03-15 08:06:54,-22.9661,-42.0278,75.54,87,99,9.24
23,Port Alfred,ZA,2021-03-15 08:11:29,2021-03-15 08:11:29,-33.5906,26.891,70.0,95,100,3.42
24,Sur,OM,2021-03-15 08:11:29,2021-03-15 08:11:29,22.5667,59.5289,83.17,51,0,7.63
25,Mataura,NZ,2021-03-15 08:11:29,2021-03-15 08:11:29,-46.1927,168.8643,55.0,72,64,3.0
26,Fortuna,US,2021-03-15 08:11:30,2021-03-15 08:11:30,40.5982,-124.1573,39.99,96,100,1.01
27,Alamos,MX,2021-03-15 08:11:30,2021-03-15 08:11:30,27.0167,-108.9333,55.99,58,0,4.38
28,Galesburg,US,2021-03-15 08:11:30,2021-03-15 08:11:30,40.9478,-90.3712,41.0,60,90,19.57
29,Japura,ID,2021-03-15 08:11:30,2021-03-15 08:11:30,-0.3167,102.35,87.6,69,75,4.03
30,Kathmandu,NP,2021-03-15 08:11:12,2021-03-15 08:11:12,27.7167,85.3167,73.4,46,40,6.91
31,Laguna,US,2021-03-15 08:11:31,2021-03-15 08:11:31,38.421,-121.4238,46.0,87,90,12.66
32,Noyabrsk,RU,2021-03-15 08:11:31,2021-03-15 08:11:31,63.1994,75.4507,20.75,90,100,16.73
33,Najran,SA,2021-03-15 08:07:51,2021-03-15 08:07:51,17.4924,44.1277,73.4,28,22,4.61
34,Kaitangata,NZ,2021-03-15 08:11:31,2021-03-15 08:11:31,-46.2817,169.8464,57.0,47,17,4.0
35,Punta Arenas,CL,2021-03-15 08:07:31,2021-03-15 08:07:31,-53.15,-70.9167,48.0,100,75,11.5
36,Bongor,TD,2021-03-15 08:11:32,2021-03-15 08:11:32,10.2806,15.3722,93.94,24,92,12.17
37,Hlotse,LS,2021-03-15 08:07:30,2021-03-15 08:07:30,-28.8718,28.045,71.28,33,0,5.59
